CO 	 N 	 Idle
15 	 1 	 89.9
26 	 2 	 75.25
36 	 3 	 70.03
44 	 4 	 67.89
54 	 5 	 61.74
61 	 6 	 55.37
72 	 7 	 50.51
73 	 8 	 50.84
73 	 9 	 46.15
81 	 10 	 45.3
89 	 11 	 40.94
90 	 12 	 39.26
93 	 13 	 36.79
98 	 14 	 38.13
103 	 15 	 33.44
97 	 16 	 31.77
103 	 17 	 30.43
109 	 18 	 29.33
116 	 19 	 25.5
125 	 20 	 21.67
109 	 21 	 22.07
115 	 22 	 17.79
118 	 23 	 20.07
123 	 24 	 20.88
131 	 25 	 17.33
132 	 26 	 16.39
139 	 27 	 11.71
132 	 28 	 6.67
132 	 29 	 4.36
122 	 30 	 15.33
132 	 31 	 8.36
138 	 32 	 6.38
143 	 33 	 4.68
148 	 34 	 3.67
145 	 35 	 2.35
148 	 36 	 6.31
140 	 37 	 4.03
123 	 38 	 5.35
135 	 39 	 0
133 	 40 	 2.34
137 	 41 	 0
136 	 42 	 0
138 	 43 	 0.67
138 	 44 	 1
136 	 45 	 0
142 	 46 	 0
148 	 47 	 0.33
135 	 48 	 0
125 	 49 	 0
120 	 50 	 0
